voters_number,p_005,p_001
100,0.2,1.0
101,0.38613861386138615,1.0
102,0.37254901960784315,1.0
103,0.3786407766990291,1.0
104,0.34615384615384615,1.0
105,0.3333333333333333,1.0
106,0.3584905660377358,1.0
107,0.3644859813084112,1.0
108,0.3333333333333333,1.0
109,0.3577981651376147,1.0
110,0.2727272727272727,1.0
111,0.35135135135135137,1.0
112,0.32142857142857145,1.0
113,0.34513274336283184,1.0
114,0.3333333333333333,1.0
115,0.30434782608695654,1.0
116,0.3103448275862069,1.0
117,0.3333333333333333,1.0
118,0.3220338983050847,1.0
119,0.3277310924369748,1.0
120,0.16666666666666666,1.0
121,0.32231404958677684,1.0
122,0.3114754098360656,1.0
123,0.3170731707317073,1.0
124,0.2903225806451613,1.0
125,0.28,1.0
126,0.30158730158730157,1.0
127,0.30708661417322836,1.0
128,0.28125,1.0
129,0.3023255813953488,1.0
130,0.23076923076923078,1.0
131,0.29770992366412213,1.0
132,0.2727272727272727,1.0
133,0.2932330827067669,1.0
134,0.2835820895522388,1.0
135,0.25925925925925924,1.0
136,0.2647058823529412,1.0
137,0.2846715328467153,1.0
138,0.2753623188405797,1.0
139,0.2805755395683453,1.0
140,0.14285714285714285,1.0
141,0.2765957446808511,1.0
142,0.2676056338028169,1.0
143,0.2727272727272727,1.0
144,0.25,1.0
145,0.2413793103448276,1.0
146,0.2602739726027397,1.0
147,0.2653061224489796,1.0
148,0.24324324324324326,1.0
149,0.26174496644295303,1.0
150,0.2,1.0
151,0.2582781456953642,1.0
152,0.23684210526315788,1.0
153,0.2549019607843137,1.0
154,0.24675324675324675,1.0
155,0.22580645161290322,1.0
156,0.23076923076923078,1.0
157,0.2484076433121019,1.0
158,0.24050632911392406,1.0
159,0.24528301886792453,1.0
160,0.125,1.0
161,0.2422360248447205,1.0
162,0.2345679012345679,1.0
163,0.2392638036809816,1.0
164,0.21951219512195122,1.0
165,0.21212121212121213,1.0
166,0.2289156626506024,1.0
167,0.23353293413173654,1.0
168,0.21428571428571427,1.0
169,0.23076923076923078,1.0
170,0.17647058823529413,1.0
171,0.22807017543859648,1.0
172,0.20930232558139536,1.0
173,0.2254335260115607,1.0
174,0.21839080459770116,1.0
175,0.2,1.0
176,0.20454545454545456,1.0
177,0.22033898305084745,1.0
178,0.21348314606741572,1.0
179,0.21787709497206703,1.0
180,0.1111111111111111,1.0
181,0.2154696132596685,1.0
182,0.2087912087912088,1.0
183,0.21311475409836064,1.0
184,0.1956521739130435,1.0
185,0.1891891891891892,1.0
186,0.20430107526881722,1.0
187,0.20855614973262032,1.0
188,0.19148936170212766,1.0
189,0.20634920634920634,1.0
190,0.15789473684210525,1.0
191,0.20418848167539266,1.0
192,0.1875,1.0
193,0.20207253886010362,1.0
194,0.1958762886597938,1.0
195,0.1794871794871795,1.0
196,0.1836734693877551,1.0
197,0.19796954314720813,1.0
198,0.1919191919191919,1.0
199,0.19597989949748743,1.0
200,0.1,0.5
201,0.19402985074626866,0.9900497512437811
202,0.18811881188118812,0.9801980198019802
203,0.1921182266009852,0.9802955665024631
204,0.17647058823529413,0.9607843137254902
205,0.17073170731707318,0.9512195121951219
206,0.18446601941747573,0.9611650485436893
207,0.18840579710144928,0.961352657004831
208,0.17307692307692307,0.9423076923076923
209,0.18660287081339713,0.9521531100478469
210,0.14285714285714285,0.9047619047619048
211,0.1848341232227488,0.943127962085308
212,0.16981132075471697,0.9245283018867925
213,0.18309859154929578,0.9342723004694836
214,0.17757009345794392,0.9252336448598131
215,0.16279069767441862,0.9069767441860465
216,0.16666666666666666,0.9074074074074074
217,0.17972350230414746,0.9170506912442397
218,0.1743119266055046,0.908256880733945
219,0.1780821917808219,0.908675799086758
220,0.09090909090909091,0.8181818181818182
221,0.17647058823529413,0.9004524886877828
222,0.17117117117117117,0.8918918918918919
223,0.17488789237668162,0.8923766816143498
224,0.16071428571428573,0.875
225,0.15555555555555556,0.7777777777777778
226,0.168141592920354,0.8761061946902655
227,0.17180616740088106,0.8766519823788547
228,0.15789473684210525,0.8596491228070176
229,0.1703056768558952,0.868995633187773
230,0.13043478260869565,0.8260869565217391
231,0.16883116883116883,0.8614718614718615
232,0.15517241379310345,0.8448275862068966
233,0.16738197424892703,0.8540772532188842
234,0.1623931623931624,0.8461538461538461
235,0.14893617021276595,0.8297872340425532
236,0.15254237288135594,0.8305084745762712
237,0.16455696202531644,0.8396624472573839
238,0.15966386554621848,0.8319327731092437
239,0.16317991631799164,0.8326359832635983
240,0.08333333333333333,0.75
241,0.16182572614107885,0.8257261410788381
242,0.15702479338842976,0.8181818181818182
243,0.16049382716049382,0.8189300411522634
244,0.14754098360655737,0.8032786885245902
245,0.14285714285714285,0.7959183673469388
246,0.15447154471544716,0.8048780487804879
247,0.15789473684210525,0.805668016194332
248,0.14516129032258066,0.7903225806451613
249,0.1566265060240964,0.7991967871485943
250,0.12,0.6
251,0.1553784860557769,0.7928286852589641
252,0.14285714285714285,0.7777777777777778
253,0.1541501976284585,0.7865612648221344
254,0.14960629921259844,0.7795275590551181
255,0.13725490196078433,0.7647058823529411
256,0.140625,0.765625
257,0.1517509727626459,0.77431906614786
258,0.14728682170542637,0.7674418604651163
259,0.15057915057915058,0.7683397683397684
260,0.07692307692307693,0.6923076923076923
261,0.14942528735632185,0.7624521072796935
262,0.1450381679389313,0.7557251908396947
263,0.1482889733840304,0.7566539923954373
264,0.13636363636363635,0.7424242424242424
265,0.1320754716981132,0.7358490566037735
266,0.14285714285714285,0.7443609022556391
267,0.14606741573033707,0.7453183520599251
268,0.13432835820895522,0.7313432835820896
269,0.1449814126394052,0.7397769516728625
270,0.1111111111111111,0.7037037037037037
271,0.14391143911439114,0.7343173431734318
272,0.1323529411764706,0.7205882352941176
273,0.14285714285714285,0.7289377289377289
274,0.1386861313868613,0.7226277372262774
275,0.12727272727272726,0.6363636363636364
276,0.13043478260869565,0.7101449275362319
277,0.1407942238267148,0.7184115523465704
278,0.1366906474820144,0.7122302158273381
279,0.13978494623655913,0.7132616487455197
280,0.07142857142857142,0.6428571428571429
281,0.1387900355871886,0.708185053380783
282,0.1347517730496454,0.7021276595744681
283,0.13780918727915195,0.7031802120141343
284,0.1267605633802817,0.6901408450704225
285,0.12280701754385964,0.6842105263157895
286,0.13286713286713286,0.6923076923076923
287,0.13588850174216027,0.6933797909407665
288,0.125,0.6805555555555556
289,0.13494809688581316,0.6885813148788927
290,0.10344827586206896,0.6551724137931034
291,0.13402061855670103,0.6838487972508591
292,0.1232876712328767,0.6712328767123288
293,0.13310580204778158,0.6791808873720137
294,0.1292517006802721,0.673469387755102
295,0.11864406779661017,0.6610169491525424
296,0.12162162162162163,0.6621621621621622
297,0.13131313131313133,0.67003367003367
298,0.12751677852348994,0.6644295302013423
299,0.13043478260869565,0.6655518394648829
300,0.06666666666666667,0.3333333333333333
301,0.12956810631229235,0.6611295681063123
302,0.12582781456953643,0.6556291390728477
303,0.12871287128712872,0.6567656765676567
304,0.11842105263157894,0.6447368421052632
305,0.11475409836065574,0.639344262295082
306,0.12418300653594772,0.6470588235294118
307,0.1270358306188925,0.6482084690553745
308,0.11688311688311688,0.6363636363636364
309,0.1262135922330097,0.6440129449838188
310,0.0967741935483871,0.6129032258064516
311,0.12540192926045016,0.639871382636656
312,0.11538461538461539,0.6282051282051282
313,0.12460063897763578,0.6357827476038339
314,0.12101910828025478,0.6305732484076433
315,0.1111111111111111,0.6190476190476191
316,0.11392405063291139,0.620253164556962
317,0.12302839116719243,0.6277602523659306
318,0.11949685534591195,0.6226415094339622
319,0.12225705329153605,0.6238244514106583
320,0.0625,0.5625
321,0.12149532710280374,0.6199376947040498
322,0.11801242236024845,0.6149068322981367
323,0.12074303405572756,0.6160990712074303
324,0.1111111111111111,0.6049382716049383
325,0.1076923076923077,0.5384615384615384
326,0.1165644171779141,0.6073619631901841
327,0.11926605504587157,0.6085626911314985
328,0.10975609756097561,0.5975609756097561
329,0.11854103343465046,0.6048632218844985
330,0.09090909090909091,0.5757575757575758
331,0.11782477341389729,0.6012084592145015
332,0.10843373493975904,0.5903614457831325
333,0.11711711711711711,0.5975975975975976
334,0.11377245508982035,0.592814371257485
335,0.1044776119402985,0.582089552238806
336,0.10714285714285714,0.5833333333333334
337,0.11572700296735905,0.5905044510385756
338,0.11242603550295859,0.5857988165680473
339,0.11504424778761062,0.5870206489675516
340,0.058823529411764705,0.5294117647058824
341,0.11436950146627566,0.5835777126099707
342,0.1111111111111111,0.5789473684210527
343,0.11370262390670553,0.5801749271137027
344,0.10465116279069768,0.5697674418604651
345,0.10144927536231885,0.5652173913043478
346,0.10982658959537572,0.5722543352601156
347,0.11239193083573487,0.5734870317002881
348,0.10344827586206896,0.5632183908045977
349,0.11174785100286533,0.5702005730659025
350,0.08571428571428572,0.42857142857142855
351,0.1111111111111111,0.5669515669515669
352,0.10227272727272728,0.5568181818181818
353,0.11048158640226628,0.5637393767705382
354,0.10734463276836158,0.559322033898305
355,0.09859154929577464,0.5492957746478874
356,0.10112359550561797,0.550561797752809
357,0.1092436974789916,0.5574229691876751
358,0.10614525139664804,0.553072625698324
359,0.10863509749303621,0.5543175487465181
360,0.05555555555555555,0.5
